Name	Id	Crate	Channel	Type	Index1	Index2	Eoffset	Efactor	EfactorSecond	Threshold(keV)															
He001	1	8	0	1	1	0	0	0.5205049029458	0	25															
He002	2	8	1	1	1	0	0	0.529365626318564	0	25															
He003	3	8	2	1	1	0	0	0.513891941984107	0	25															
He004	4	8	3	1	2	0	0	0.505813442721574	0	25															
He005	5	8	4	1	2	0	0	0.50461445325042	0	25															
He006	6	8	5	1	3	0	0	0.50789073766951	0	25															
He007	7	8	6	1	1	0	0	0.553583016137746	0	25															
He008	8	8	7	1	1	0	0	0.516968719074467	0	25															
He009	9	8	8	1	1	0	0	0.522536060448406	0	25															
He010	10	8	9	1	2	0	0	0.507807804675174	0	25															
He011	11	8	10	1	2	0	0	0.503327242216602	0	25															
He012	12	8	11	1	3	0	0	0.513842365387902	0	25															
He013	13	8	12	1	1	0	0	0.573450743804533	0	25															
He014	14	8	13	1	1	0	0	0.589658981849924	0	25															
He015	15	8	14	1	1	0	0	0.567804934593186	0	25															
He016	16	8	15	1	2	0	0	0.591461393248564	0	25															
He017	17	8	16	1	2	0	0	0.595036049873821	0	25															
He018	18	8	17	1	3	0	0	0.569358405921748	0	25															
He019	19	8	18	1	1	0	0	0.603498660644693	0	25															
He020	20	8	19	1	1	0	0	0.594029304220068	0	25															
He021	21	8	20	1	1	0	0	0.58094475716871	0	25															
He022	22	8	21	1	2	0	0	0.611897956558954	0	25															
He023	23	8	22	1	2	0	0	0.559491409705706	0	25															
He024	24	8	23	1	3	0	0	0.585026722124608	0	25															
He025	25	8	24	1	3	0	0	0.572376585505286	0	25															
He026	26	8	25	1	1	0	0	0.551799781165109	0	25															
He027	27	8	26	1	1	0	0	0.584020587353572	0	25															
He028	28	8	27	1	1	0	0	0.591642968896209	0	25															
He029	29	8	28	1	1	0	0	0.570501828486721	0	25															
He030	30	8	29	1	1	0	0	0.590773869972537	0	25															
He031	31	8	30	1	3	0	0	0.604399886871896	0	25															
He032	32	8	31	1	3	0	0	0.520123546718216	0	25															
He033	33	8	32	1	2	0	0	0.623913999971325	0	25															
He034	34	8	33	1	2	0	0	0.678420979066897	0	25															
He035	35	8	34	1	2	0	0	0.568266582719656	0	25															
He036	36	8	35	1	2	0	0	0.637486794976688	0	25															
He037	37	8	36	1	3	0	0	0.639847871985936	0	25															
He038	38	8	37	1	3	0	0	0.664135130652173	0	25															
He039	39	8	38	1	3	0	0	0.683825969252762	0	25															
He040	40	8	39	1	3	0	0	0.676033676204801	0	25															
He041	41	8	40	1	3	0	0	0.668315429654331	0	25															
He042	42	8	41	1	3	0	0	0.678332725529751	0	25															
He043	43	8	42	1	3	0	0	0.688484127138583	0	25															
He044	44	8	43	1	3	0	0	0.664400749178198	0	25															
He045	45	8	44	1	1	0	0	0.718793468233126	0	25															
He046	46	8	45	1	1	0	0	0.703153745388233	0	25															
He047	47	8	46	1	1	0	0	0.729550268934966	0	25															
He048	48	8	47	1	1	0	0	0.70837046776696	0	25															
He049	49	8	48	1	1	0	0	0.648774565917603	0	25															
He050	50	8	49	1	3	0	0	0.624024228830332	0	25															
He051	51	8	50	1	3	0	0	0.617539664572062	0	25															
He052	52	8	51	1	3	0	0	0.66181982144204	0	25															
He053	53	8	52	1	2	0	0	0.634400392503204	0	25															
He054	54	8	53	1	2	0	0	0.633539324475168	0	25															
He055	55	8	54	1	2	0	0	0.632416257304478	0	25															
He056	56	8	55	1	2	0	0	0.597345839209816	0	25															
He057	57	8	56	1	3	0	0	0.621469980366485	0	25															
He058	58	8	57	1	3	0	0	0.620983563344341	0	25															
He059	59	8	58	1	3	0	0	0.617647546061026	0	25															
He060	60	8	59	1	3	0	0	0.668247393906483	0	25															
He061	61	8	60	1	3	0	0	0.609958206726286	0	25															
He062	62	8	61	1	3	0	0	0.589109384066172	0	25															
He063	63	8	62	1	3	0	0	0.613444049228635	0	25															
He064	64	8	63	1	3	0	0	0.628153641615691	0	25															
He065	65	9	0	1	5	0	0	0.62983223888154	0	25															
He066	66	9	1	1	4	0	0	0.644073979226637	0	25															
He067	67	9	2	1	4	0	0	0.637506878598603	0	25															
He068	68	9	3	1	5	0	0	0.63622845815181	0	25															
He069	69	9	4	1	7	0	0	0.635550413830723	0	25															
He070	70	9	5	1	7	0	0	0.629747160298853	0	25															
He071	71	9	6	1	7	0	0	0.65244559623838	0	25															
He072	72	9	7	1	7	0	0	0.641639863886786	0	25															
He073	73	9	8	1	5	0	0	0.652269454112517	0	25															
He074	74	9	9	1	4	0	0	0.626653363813403	0	25															
He075	75	9	10	1	4	0	0	0.649633530488227	0	25															
