Name	Id	Crate	Channel	Type	Index1	Index2	Eoffset	Efactor	Threshold(keV)															
He001	1	8	0	1	1	0	0	0.518092086138185	50															
He002	2	8	1	1	1	0	0	0.532805062808893	50															
He003	3	8	2	1	1	0	0	0.516760458537901	50															
He004	4	8	3	1	2	0	0	0.509307271113753	50															
He005	5	8	4	1	2	0	0	0.50685439285139	50															
He006	6	8	5	1	3	0	0	0.511656076451303	50															
He007	7	8	6	1	1	0	0	0.55461747620132	50															
He008	8	8	7	1	1	0	0	0.520136281854373	50															
He009	9	8	8	1	1	0	0	0.52535975025407	50															
He010	10	8	9	1	2	0	0	0.512062636110745	50															
He011	11	8	10	1	2	0	0	0.50621209069802	50															
He012	12	8	11	1	3	0	0	0.516897526282346	50															
He013	13	8	12	1	1	0	0	0.569109837495843	50															
He014	14	8	13	1	1	0	0	0.587741211975566	50															
He015	15	8	14	1	1	0	0	0.565043205710245	50															
He016	16	8	15	1	2	0	0	0.588662750516531	50															
He017	17	8	16	1	2	0	0	0.594147638064346	50															
He018	18	8	17	1	3	0	0	0.567122704233447	50															
He019	19	8	18	1	1	0	0	0.602762735401299	50															
He020	20	8	19	1	1	0	0	0.59329895614844	50															
He021	21	8	20	1	1	0	0	0.577835262820628	50															
He022	22	8	21	1	2	0	0	0.607421925690722	50															
He023	23	8	22	1	2	0	0	0.560146781078703	50															
He024	24	8	23	1	3	0	0	0.582607468137728	50															
He025	25	8	24	1	3	0	0	0.568790684721324	50															
He026	26	8	25	1	1	0	0	0.551148363068829	50															
He027	27	8	26	1	1	0	0	0.565392686119293	50															
He028	28	8	27	1	1	0	0	0.590931880842164	50															
He029	29	8	28	1	1	0	0	0.570040560381346	50															
He030	30	8	29	1	1	0	0	0.589996321180765	50															
He031	31	8	30	1	3	0	0	0.604544108319001	50															
He032	32	8	31	1	3	0	0	0.518910338829727	50															
He033	33	8	32	1	2	0	0	0.624332034116892	50															
He034	34	8	33	1	2	0	0	0.678696246408721	50															
He035	35	8	34	1	2	0	0	0.567350738874549	50															
He036	36	8	35	1	2	0	0	0.635642659025056	50															
He037	37	8	36	1	3	0	0	0.639746893002611	50															
He038	38	8	37	1	3	0	0	0.663778382112922	50															
He039	39	8	38	1	3	0	0	0.682583014247846	50															
He040	40	8	39	1	3	0	0	0.677335801923873	50															
He041	41	8	40	1	3	0	0	0.668866207267137	50															
He042	42	8	41	1	3	0	0	0.689680386481441	50															
