Name	Id	Crate	Channel	Type	Index1	Index2	Efactor
He001	1	12	0	1	1	0	0.049417172091486
He002	2	12	1	1	1	0	0.048839809477544
He003	3	12	2	1	1	0	0.047749808870217
He004	4	12	3	1	2	0	0.048819507925543
He005	5	12	4	1	2	0	0.048130679806595
He006	6	12	5	1	3	0	0.050360594733397
He007	7	12	6	1	1	0	0.048850642173579
He008	8	12	7	1	1	0	0.048672760871289
He009	9	12	8	1	1	0	0.047843452279237
He010	10	12	9	1	2	0	0.046022444330967
He011	11	12	10	1	2	0	0.047728731048336
He012	12	12	11	1	3	0	0.047169499247311
He013	13	12	12	1	1	0	0.047434980401924
He014	14	12	13	1	1	0	0.048379831621243
He015	15	12	14	1	1	0	0.048812404971684
He016	16	12	15	1	2	0	0.046113319493353
He017	17	13	0	1	2	0	0.046898488735519
He018	18	13	1	1	3	0	0.051405767569647
He019	19	13	2	1	1	0	0.0501588736273
He020	20	13	3	1	1	0	0.04736089603292
He021	21	13	4	1	1	0	0.048989627967951
He022	22	13	5	1	2	0	0.049708501093505
He023	23	13	6	1	2	0	0.050630540068151
He024	24	13	7	1	3	0	0.05154270426463
He025	25	13	8	1	3	0	0.050303256368891
He026	26	13	9	1	1	0	0.052015961030906
He027	27	13	10	1	1	0	0.051519865352108
He028	28	13	11	1	1	0	0.050475262287549
He029	29	13	12	1	1	0	0.053572827075657
He030	30	13	13	1	1	0	0.053214366607371
He031	31	13	14	1	3	0	0.053094693506051
He032	32	13	15	1	3	0	0.052866980821728
He033	33	14	0	1	2	0	0.045472317655424
He034	34	14	1	1	2	0	0.04534045899219
He035	35	14	2	1	2	0	0.045652848675777
He036	36	14	3	1	2	0	0.044973888291179
He037	37	14	4	1	3	0	0.045121582344963
He038	38	14	5	1	3	0	0.045351489832566
He039	39	14	6	1	3	0	0.045568757168011
He040	40	14	7	1	3	0	0.046433374110214
He041	41	14	8	1	3	0	0.045055887365648
He042	42	14	9	1	3	0	0.045829304807119
He043	43	14	10	1	3	0	0.044201696767998
He044	44	14	11	1	3	0	0.044674919521479
He045	45	14	12	1	1	0	0.048239033067916
He046	46	14	13	1	1	0	0.048615034338049
He047	47	14	14	1	1	0	0.047838402736317
He048	48	14	15	1	1	0	0.04955210504058
He049	49	8	44	1	1	0	1
He050	50	8	45	1	3	0	1
He051	51	8	46	1	3	0	1
He052	52	8	47	1	3	0	1
He053	53	8	52	1	2	0	1
He054	54	8	53	1	2	0	1
He055	55	8	54	1	2	0	1
He056	56	8	55	1	2	0	1
He057	57	8	56	1	3	0	1
He058	58	8	57	1	3	0	1
He059	59	8	58	1	3	0	1
He060	60	8	59	1	3	0	1
He061	61	8	60	1	3	0	1
He062	62	8	61	1	3	0	1
He063	63	8	62	1	3	0	1
He064	64	8	63	1	3	0	1
He065	65	9	0	1	5	0	0.651972461019992
He066	66	9	1	1	4	0	0.665961789101517
He067	67	9	2	1	4	0	0.655980329350859
He068	68	9	3	1	5	0	0.656170611871237
He069	69	9	4	1	7	0	0.661757225834194
He070	70	9	5	1	7	0	0.65059821362517
He071	71	9	6	1	7	0	0.677841361017518
He072	72	9	7	1	7	0	0.65913108357878
He073	73	9	8	1	5	0	0.678704925018698
He074	74	9	9	1	4	0	0.650702267937844
He075	75	9	10	1	4	0	0.667897823610334
He076	76	9	11	1	5	0	0.639014212623715
He077	77	9	12	1	7	0	0.634352486269916
He078	78	9	13	1	7	0	0.64719633736807
He079	79	9	14	1	7	0	0.66572780981473
He080	80	9	15	1	7	0	0.644387479866585
He081	81	9	16	1	4	0	0.78242584484902
He082	82	9	17	1	4	0	0.780404812053761
He083	83	9	18	1	4	0	0.717693275668573
He084	84	9	19	1	4	0	0.724283446855831
He085	85	9	20	1	4	0	0.777739617595315
He086	86	9	21	1	5	0	0.775403293467971
He087	87	9	22	1	5	0	0.787797583178145
He088	88	9	23	1	5	0	0.71533936804968
He089	89	9	24	1	5	0	0.763319687576648
He090	90	9	25	1	5	0	0.720045657768601
He091	91	9	26	1	5	0	0.747527082873438
He092	92	9	27	1	6	0	0.736678204932929
He093	93	9	28	1	6	0	0.758249833185969
He094	94	9	29	1	6	0	0.721313182878115
He095	95	9	30	1	6	0	0.731851171530901
He096	96	9	31	1	6	0	1
He097	97	9	32	1	6	0	0.661899301001736
He098	98	9	33	1	6	0	0.655371739173443
He099	99	9	34	1	6	0	0.6813414724573
He100	100	9	35	1	6	0	0.670652921991934
He101	101	9	36	1	7	0	0.66499417640614
He102	102	9	37	1	7	0	0.680039252865988
He103	103	9	38	1	7	0	0.633982361182196
He104	104	9	39	1	7	0	0.675796844322739
He105	105	9	40	1	7	0	0.657253857370525
He106	106	9	41	1	7	0	0.67310809136806
He107	107	9	42	1	7	0	0.663031620826208
He108	108	9	43	1	7	0	0.730604481445236
He109	109	9	44	1	7	0	0.695937939198902
He110	110	9	45	1	7	0	0.711222240273634
He111	111	9	46	1	4	0	0.650194784678651
He112	112	9	47	1	4	0	1
He113	113	9	48	1	4	0	0.597635995235073
He114	114	9	49	1	4	0	0.656593919355534
He115	115	9	50	1	4	0	0.64838590424222
He116	116	9	51	1	5	0	0.660702510488654
He117	117	9	52	1	5	0	0.660673641725735
